time,od,treat
0,0.020,0
2,0.171,0
4,0.520,0
6,0.619,0
8,0.798,0
17,0.976,0
19,1.024,0
21,1.016,0
23,1.046,0
25,1.029,0
27,0.995,0
29,1.016,0
31,0.736,0
0,0.020,5
2,0.131,5
4,0.504,5
6,0.586,5
8,0.750,5
17,0.954,5
19,0.998,5
21,0.977,5
23,1.007,5
25,0.977,5
27,1.000,5
29,1.023,5
31,0.815,5
0,0.019,10
2,0.079,10
4,0.414,10
6,0.533,10
8,0.750,10
17,1.013,10
19,1.027,10
21,1.003,10
23,1.044,10
25,1.048,10
27,1.047,10
29,1.028,10
31,0.888,10
0,0.021,20
2,0.050,20
4,0.264,20
6,0.495,20
8,0.670,20
17,0.923,20
19,0.969,20
21,0.955,20
23,1.013,20
25,1.013,20
27,1.051,20
29,1.000,20
31,0.957,20
0,0.024,40
2,0.040,40
4,0.048,40
6,0.114,40
8,0.384,40
17,0.761,40
19,0.854,40
21,0.894,40
23,0.933,40
25,0.974,40
27,1.039,40
29,0.957,40
31,1.010,40
0,0.024,80
2,0.031,80
4,0.025,80
6,0.015,80
8,0.106,80
17,0.054,80
19,0.127,80
21,0.300,80
23,0.526,80
25,0.660,80
27,0.808,80
29,0.787,80
31,0.876,80
